categorie,elasticite,opportunite,note_moyenne,ratio_livraison_moyen,score_elasticite,score_note,score_livraison,score_confiance,fiabilite,prix_actuel,prix_optimal,gain_rs,gain_pct
Papeterie,-0.041,🟢 Opportunité,4.247,0.325,0.6894736842105262,0.81175,0.5725677830940988,70.3,🟢 Très fiable,90.75,108.9,42556.6,19.02
Outils Jardin,-0.019,🟢 Opportunité,4.116,0.418,0.8052631578947369,0.7789999999999999,0.4242424242424243,70.1,🟢 Très fiable,108.17,129.8,4903.81,19.54
Construction Maison,-0.043,🟢 Opportunité,3.957,0.268,0.6789473684210527,0.73925,0.6634768740031898,69.6,🟡 Fiable,136.59,163.91,15441.47,18.97
Boissons,-0.032,🟢 Opportunité,4.119,0.415,0.736842105263158,0.7797499999999999,0.42902711323763953,67.5,🟡 Fiable,59.64,71.57,4140.86,19.23
Éclairage Construction,-0.069,🟡 Prudence,4.083,0.257,0.5421052631578948,0.77075,0.6810207336523126,65.7,🟡 Fiable,132.75,159.3,7330.6,18.35
Signalisation & Sécurité,-0.027,🟢 Opportunité,4.095,0.55,0.7631578947368421,0.7737499999999999,0.21371610845295053,63.0,🟡 Fiable,108.2,129.84,4125.31,19.35
Audio,-0.061,🟡 Prudence,3.833,0.331,0.5842105263157895,0.70825,0.5629984051036683,62.2,🟡 Fiable,139.7,167.64,9374.71,18.54
Mode Homme,-0.072,🟡 Prudence,3.756,0.266,0.5263157894736843,0.689,0.6666666666666666,61.8,🟡 Fiable,83.62,100.34,1910.05,18.27
Alimentation & Boissons,-0.057,🟡 Prudence,4.364,0.492,0.6052631578947368,0.841,0.30622009569377995,61.3,🟡 Fiable,55.55,66.66,2784.24,18.63
Électronique,-0.011,🟢 Opportunité,4.065,0.684,0.8473684210526315,0.7662500000000001,0.0,60.7,🟡 Fiable,56.81,68.17,30588.15,19.73
Articles de Noël,-0.015,🟢 Opportunité,4.094,0.675,0.8263157894736842,0.7735000000000001,0.014354066985645897,60.5,🟡 Fiable,58.25,69.9,1715.7,19.64
Confort Maison,-0.109,🔴 Risque,3.854,0.212,0.33157894736842103,0.7135,0.7527910685805422,57.1,🟡 Fiable,135.22,135.22,0.0,0.0
Téléphonie,-0.061,🟡 Prudence,3.994,0.508,0.5842105263157895,0.7485,0.2807017543859649,56.6,🟡 Fiable,69.95,83.94,57457.32,18.54
Mobilier Salon,-0.096,🟡 Prudence,3.933,0.327,0.39999999999999997,0.73325,0.569377990430622,55.9,🟡 Fiable,136.06,163.27,11917.2,17.69
Outils & Jardin,-0.122,🔴 Risque,4.082,0.332,0.2631578947368421,0.7705,0.5614035087719298,51.5,🟡 Fiable,110.24,110.24,0.0,0.0
Chaussures,-0.159,🔴 Risque,4.284,0.291,0.06842105263157887,0.821,0.6267942583732058,47.1,🟠 Modéré,89.5,89.5,0.0,0.0
Lingerie & Maillots,-0.122,🔴 Risque,4.037,0.551,0.2631578947368421,0.75925,0.21212121212121204,42.4,🟠 Modéré,73.28,73.28,0.0,0.0
Outils & Bricolage,-0.172,🔴 Risque,4.431,0.374,0.0,0.85775,0.4944178628389154,42.4,🟠 Modéré,154.41,154.41,0.0,0.0
